Player,NBA_Season,Pos,Age,Tm,G,MP,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,Label
Kelly Oubre,2016,SF,20,WAS,63,671,8.2,0.507,0.374,0.232,4.1,18.4,11.1,2.8,1.6,0.8,12.8,17.4,-0.3,0.7,0.4,0.031,-4.3,-1.6,-5.8,-0.7,0
Devin Booker,2016,SG,19,PHO,76,2108,11.9,0.535,0.333,0.295,1.4,8.4,4.8,15.8,1,0.8,14,23,1.2,0.7,1.9,0.043,-0.6,-2.4,-3.1,-0.6,0
Anthony Brown,2016,SF,23,LAL,29,599,4.9,0.427,0.556,0.159,1.6,11.3,6.3,4.8,1.2,0.7,10,11,-0.4,0.1,-0.3,-0.024,-4,-1.1,-5,-0.5,0
Jerian Grant,2016,PG,23,NYK,76,1265,11.2,0.479,0.256,0.315,2,10.2,6.2,21.8,2,0.6,16.3,19,-0.2,1,0.8,0.03,-2.3,-1.1,-3.4,-0.5,0
Bobby Portis,2016,PF,20,CHI,62,1102,13.8,0.469,0.119,0.151,12,20,16.1,7.5,1.1,1.5,10.4,20.7,0.3,1.3,1.5,0.066,-2.4,-0.9,-3.3,-0.4,0
Terry Rozier,2016,PG,21,BOS,39,311,5,0.326,0.255,0.094,8.1,13.5,10.8,16.5,0.9,0.3,14.7,17.7,-0.6,0.3,-0.3,-0.047,-5.9,-0.8,-6.6,-0.4,0
Mario Hezonja,2016,SF,20,ORL,79,1413,9.4,0.541,0.459,0.129,2.2,11.8,6.9,11.2,1.4,1,18,16.9,-0.1,1,0.9,0.029,-1.9,-0.9,-2.8,-0.3,0
Tyus Jones,2016,PG,19,MIN,37,573,11.2,0.45,0.34,0.25,1.4,8,4.8,27.7,2.7,0.4,16,16.1,0,0.3,0.3,0.027,-1.7,-2,-3.7,-0.3,0
Trey Lyles,2016,PF,20,UTA,80,1382,11.6,0.517,0.294,0.188,5,20.2,12.6,7.1,1,1.1,12.1,17.9,0.6,1.7,2.3,0.079,-2.4,-0.4,-2.8,-0.3,0
Lamar Patterson,2016,SG,24,ATL,35,395,5.1,0.468,0.613,0.275,1.1,12.4,6.9,13.6,1.1,0.4,20.4,12.8,-0.3,0.5,0.2,0.025,-4.6,-0.3,-4.9,-0.3,0
Pat Connaughton,2016,SG,23,POR,34,143,4.6,0.352,0.429,0.102,8.3,15.9,12.1,9.9,0.7,0,16.3,18.7,-0.3,0.1,-0.2,-0.076,-5.8,-2.4,-8.2,-0.2,0
Darrun Hilliard,2016,SG,22,DET,38,383,10.7,0.511,0.382,0.305,1.4,11.9,6.4,10.9,1.2,0.2,11.3,19.1,0.2,0.3,0.5,0.066,-2,-1.6,-3.6,-0.2,0
Damien Inglis,2016,SF,20,MIL,20,156,6.7,0.444,0.351,0.216,1.5,21.1,11.4,9,2,1.6,21.4,14.9,-0.2,0.2,-0.1,-0.024,-6.1,-0.3,-6.4,-0.2,0
Stanley Johnson,2016,SF,19,DET,73,1687,8.7,0.46,0.342,0.17,3.6,16.7,9.9,10.8,1.6,0.5,15,19.6,-1.3,1.9,0.6,0.018,-3.1,0.5,-2.6,-0.2,0
Josh Huestis,2016,PF,24,OKC,5,55,6.7,0.509,0.5,0.333,4.2,15,9.9,0,0.9,2.8,17.9,13,0,0.1,0,0.01,-4.9,-2.5,-7.4,-0.1,0
R.J. Hunter,2016,SG,22,BOS,36,315,7.7,0.48,0.643,0.071,0.7,12,6.2,5.9,2.2,1,9.8,15.1,-0.1,0.4,0.3,0.045,-3.1,-0.4,-3.5,-0.1,0
Jarell Martin,2016,PF,21,MEM,27,380,14,0.534,0.017,0.534,11.2,14.7,12.9,6.4,1.1,1.7,11.7,19.2,0.5,0.2,0.8,0.1,-1.6,-1.6,-3.2,-0.1,0
Jordan McRae,2016,PG,24,TOT,22,195,14.2,0.548,0.282,0.359,2.3,9.2,5.7,20.9,0.7,0.4,14.2,23.9,0.2,0.1,0.4,0.087,-0.9,-3.3,-4.3,-0.1,0
Raul Neto,2016,PG,23,UTA,81,1499,10.2,0.53,0.388,0.167,1.3,8,4.7,18.7,2.2,0.1,19.5,17.2,0.2,1.6,1.8,0.058,-1.6,-0.7,-2.3,-0.1,0
Myles Turner,2016,C,19,IND,60,1367,15.4,0.531,0.026,0.228,5.5,21,13.3,5,0.9,5.1,10.3,20.9,0.8,2.3,3.1,0.109,-3.7,1.4,-2.3,-0.1,0
Thanasis Antetokounmpo,2016,SF,23,NYK,2,6,32.9,0.75,0.25,0,0,17.9,9.1,0,0,0,0,30.2,0,0,0,0.291,6.3,-10.5,-4.1,0,0
Rakeem Christmas,2016,PF,24,IND,1,6,32,1,0,0,18.3,0,9.1,0,0,0,0,14.7,0,0,0,0.343,9.7,-6.6,3.2,0,0
Branden Dawson,2016,PF,22,LAC,6,29,7.1,0.46,0,0.2,7.6,7.4,7.5,0,0,2.7,0,8.5,0,0,0,0.069,-4.9,-1.7,-6.6,0,0
Sam Dekker,2016,PF,21,HOU,3,6,10.8,0,0,0,0,18.5,9.2,0,8.2,0,0,0,0,0,0,0.116,-5.3,5.8,0.5,0,0
Montrezl Harrell,2016,PF,22,HOU,39,379,14.6,0.635,0.011,0.511,7.2,11.7,9.5,7.2,1.4,2.4,13.4,14.5,0.7,0.2,0.9,0.118,-1.2,-0.7,-1.9,0,0
Kevon Looney,2016,PF,19,GSW,5,21,18.6,0.643,0.286,0,21.8,29.1,25.6,0,0,0,12.5,16.5,0.1,0,0.1,0.192,-1.2,-8.2,-9.5,0,0
Jordan Mickey,2016,PF,21,BOS,16,57,15.3,0.398,0,0.455,11,13.3,12.1,2.6,0,15.1,3.6,20.5,0,0.1,0.1,0.068,-7.3,4.1,-3.2,0,0
Domantas Sabonis,2017,PF,20,OKC,81,1632,6.9,0.469,0.331,0.139,3.1,16.4,9.8,7.2,1.2,1.6,14,15.4,-1,1.8,0.8,0.022,-4.7,-0.1,-4.8,-1.2,0
Isaiah Whitehead,2017,PG,21,BRK,73,1643,7.6,0.487,0.293,0.222,2.1,9.7,5.9,17.7,1.2,1.7,20.3,18.2,-1.7,0.9,-0.8,-0.023,-4.3,-0.6,-4.9,-1.2,0
Semaj Christon,2017,PG,24,OKC,64,973,5.7,0.387,0.283,0.139,2.2,7.8,4.9,18.1,1.4,0.6,15.4,12.2,-0.7,0.8,0.1,0.006,-5.1,-1.2,-6.3,-1.1,0
Brandon Ingram,2017,SF,19,LAL,79,2279,8.5,0.474,0.273,0.312,2.8,12.7,7.6,10.5,1.1,1.3,12.9,16.8,-1,0.7,-0.3,-0.007,-3.1,-0.7,-3.8,-1.1,0
Jaylen Brown,2017,SF,20,BOS,78,1341,10.3,0.539,0.319,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,0.2,1.3,1.5,0.053,-3.1,-0.9,-4,-0.7,0
Tyler Ulis,2017,PG,21,PHO,61,1123,13,0.474,0.181,0.162,1.9,7.5,4.6,30.5,2,0.4,14.1,20.3,0.3,0.4,0.7,0.029,-1.5,-2.5,-4,-0.6,0
Wade Baldwin,2017,PG,20,MEM,33,405,6.5,0.404,0.191,0.322,3,10.2,6.5,22.8,2.3,1.7,22.9,19.1,-0.8,0.5,-0.3,-0.041,-6.2,0.5,-5.7,-0.4,0
Kay Felder,2017,PG,21,CLE,42,386,11.4,0.462,0.139,0.31,0.9,10.5,5.9,22.7,2.3,1.5,14.3,24.2,-0.3,0.4,0.1,0.008,-4.8,-1.2,-6,-0.4,0
Buddy Hield,2017,SG,23,TOT,82,1888,11.8,0.541,0.494,0.099,2,13.5,7.8,10.3,1,0.4,11.2,21.3,0,1.3,1.3,0.032,-0.9,-1.9,-2.7,-0.4,0
Paul Zipser,2017,SF,22,CHI,44,843,6.9,0.503,0.448,0.181,1.9,14.2,8,6.1,0.9,1.5,14.4,14.4,-0.3,0.8,0.5,0.03,-3.6,-0.1,-3.7,-0.4,0
Dragan Bender,2017,PF,19,PHO,43,574,5.3,0.44,0.627,0.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4,-0.7,0.3,-0.3,-0.029,-4,-0.3,-4.3,-0.3,0
Jake Layman,2017,SF,22,POR,35,249,4.9,0.404,0.573,0.191,2.7,8,5.3,6.2,1.8,1,10.2,19,-0.4,0.1,-0.3,-0.054,-4.7,-2.7,-7.4,-0.3,0
Jamal Murray,2017,SG,19,DEN,82,1764,11.9,0.518,0.471,0.164,2.6,10.7,6.7,14,1.4,1.1,12.6,21.6,0.6,0.7,1.3,0.037,-0.5,-2.1,-2.6,-0.3,0
Cheick Diallo,2017,PF,20,NOP,17,199,16.8,0.51,0,0.276,12.1,26.7,19.4,3.2,1,2.9,7.6,20.5,0.2,0.3,0.5,0.111,-4.6,-1,-5.6,-0.2,0
Henry Ellenson,2017,PF,20,DET,19,146,7.5,0.444,0.547,0.125,5.8,25.6,15.3,7.2,0.3,0.6,17.2,24.7,-0.4,0.2,-0.2,-0.071,-5.8,-2.4,-8.2,-0.2,0
Andrew Harrison,2017,PG,22,MEM,72,1474,8.7,0.477,0.433,0.539,1.7,9,5.3,20,1.9,1.4,16,16.4,0,1.5,1.6,0.051,-2.4,0,-2.4,-0.2,0
Damian Jones,2017,C,21,GSW,10,85,5.3,0.466,0,0.625,12.4,17,14.8,0,0.6,3.7,22.7,13.4,-0.1,0.1,0,0.018,-7.5,-2.1,-9.6,-0.2,0
Dejounte Murray,2017,PG,20,SAS,38,322,9.6,0.503,0.198,0.259,2.2,12.4,7.4,22.6,1.3,1.5,22.7,23.5,-0.4,0.5,0,0.004,-4.6,-0.2,-4.8,-0.2,0
Georges Niang,2017,PF,23,IND,23,93,0.1,0.285,0.333,0.056,2.4,17.9,10.3,7.5,1.6,0,11.9,20.2,-0.4,0.1,-0.3,-0.168,-9.9,-2.2,-12,-0.2,0
Malachi Richardson,2017,SG,21,SAC,22,198,9.6,0.517,0.412,0.279,1.8,11.5,6.7,8.7,1.3,0.5,9.5,19.3,0,0.1,0.1,0.028,-2.5,-3,-5.5,-0.2,0
Denzel Valentine,2017,SG,23,CHI,57,976,7.3,0.492,0.722,0.063,1.2,15.6,8.3,9.3,1.5,0.6,14.2,15.4,-0.5,1.1,0.6,0.031,-2.4,-0.3,-2.7,-0.2,0
Malik Beasley,2017,SG,20,DEN,22,165,13.7,0.536,0.384,0.137,3.4,8,5.7,10.2,2.1,0,9.4,22,0.1,0.1,0.2,0.057,-0.5,-3.5,-3.9,-0.1,0
Ben Bentil,2017,PF,21,DAL,3,10,-17.6,0,0.333,0,0,24.4,11.6,0,0,0,25,18.9,-0.1,0,-0.1,-0.473,-22.4,-4.5,-26.9,-0.1,0
Deyonta Davis,2017,C,20,MEM,36,238,10.6,0.528,0,0.383,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12,0.1,0.4,0.5,0.097,-5.4,1.8,-3.7,-0.1,0
Kris Dunn,2017,PG,22,MIN,78,1333,8.1,0.432,0.233,0.188,2.1,12.6,7.3,19.4,3,2.3,20.8,14.2,-1.2,1.3,0.1,0.004,-3.7,1.5,-2.2,-0.1,0
Michael Gbinije,2017,SG,24,DET,9,32,-2.1,0.184,0.4,0.2,6.6,3.5,5.1,7.9,0,0,0,15,-0.1,0,-0.1,-0.136,-7.7,-2.8,-10.5,-0.1,0
A.J. Hammons,2017,C,24,DAL,22,163,8.4,0.472,0.238,0.476,5.4,21,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0,-0.001,-7.5,2,-5.6,-0.1,0
Pierre Jackson,2017,PG,25,DAL,8,84,13,0.416,0.282,0.179,1.3,11.6,6.2,38,1.2,0,6.7,25.3,0,0.1,0,0.021,-1.7,-2.7,-4.4,-0.1,0
Skal Labissiere,2017,PF,20,SAC,33,612,16.8,0.577,0.037,0.339,9.7,20.7,15.3,7.5,1.3,1.9,12.9,21.3,0.7,0.5,1.3,0.099,-1.7,-0.9,-2.6,-0.1,0
Georgios Papagiannis,2017,C,19,SAC,22,355,12.7,0.573,0.02,0.137,7.9,20,14,9,0.4,4.4,18.2,16.9,0.1,0.3,0.4,0.057,-3.5,0.8,-2.7,-0.1,0
Dario Saric,2017,PF,22,PHI,81,2129,12.8,0.508,0.368,0.237,5.8,20.8,13.3,14.3,1.3,1.1,15.2,24.6,-1.2,2.2,1,0.023,-2,-0.2,-2.2,-0.1,0
Diamond Stone,2017,C,19,LAC,7,24,-1.2,0.339,0,0.308,4.8,22.7,14,0,0,3.4,11.9,31.3,-0.1,0,-0.1,-0.211,-17.3,-6.8,-24.1,-0.1,0
Stephen Zimmerman,2017,C,20,ORL,19,108,7.3,0.346,0,0.161,10.8,24.9,17.6,5.3,0.9,3.7,8.3,14.8,-0.1,0.1,0,-0.005,-7.8,0.4,-7.3,-0.1,0
