,Player,NBA_Season,Pos,Age,Tm,G,MP,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,Label,WAR
33,Cleanthony Early,2015,SF,23,NYK,39,647,8.4,0.447,0.39299999999999996,0.22399999999999998,3.8,13.8,8.7,9.1,2.0,1.5,14.5,19.6,-0.8,0.4,-0.4,-0.03,-3.8,-1.3,-5.2,-0.5,0,-1.35
34,Tyler Ennis,2015,PG,20,TOT,33,411,7.3,0.41100000000000003,0.299,0.049,1.9,7.7,4.8,27.3,2.2,1.0,22.2,20.6,-0.8,0.5,-0.3,-0.04,-5.2,-1.5,-6.7,-0.5,0,-1.35
35,Jerami Grant,2015,SF,20,PHI,65,1377,8.7,0.47,0.44299999999999995,0.5479999999999999,3.7,12.3,7.8,9.4,1.5,4.0,16.3,16.5,-0.9,1.4,0.5,0.019,-4.3,1.0,-3.3,-0.5,0,-1.35
36,Doug McDermott,2015,SF,23,CHI,36,321,6.1,0.48,0.38299999999999995,0.14,2.1,12.2,7.3,3.0,0.6,0.2,13.0,18.3,-0.3,0.2,0.0,-0.005,-4.8,-3.3,-8.0,-0.5,0,-1.35
37,Nik Stauskas,2015,SG,21,SAC,73,1127,7.5,0.49200000000000005,0.503,0.21600000000000003,1.1,7.5,4.4,9.0,0.9,1.2,11.0,14.2,0.3,0.2,0.5,0.021,-1.9,-2.0,-3.9,-0.5,0,-1.35
38,Gary Harris,2015,SG,20,DEN,55,719,4.9,0.395,0.475,0.217,3.0,6.7,4.8,5.9,2.7,0.8,13.8,16.6,-1.2,0.5,-0.7,-0.046,-4.2,-0.1,-4.3,-0.4,0,-1.08
39,Erick Green,2015,PG,23,DEN,43,410,8.9,0.436,0.29,0.07400000000000001,1.8,6.6,4.1,15.1,1.5,0.0,7.7,19.1,-0.1,0.1,0.0,0.0,-2.7,-2.7,-5.4,-0.3,0,-0.81
40,P.J. Hairston,2015,SG,22,CHO,45,687,9.0,0.446,0.606,0.134,3.4,11.5,7.4,5.1,1.6,1.5,7.2,20.4,-0.5,0.8,0.3,0.022000000000000002,-2.2,-1.3,-3.5,-0.3,0,-0.81
41,Joe Harris,2015,SG,23,CLE,51,493,5.6,0.537,0.7,0.125,1.7,7.8,4.8,7.7,0.7,0.3,17.6,14.1,0.0,0.2,0.2,0.018000000000000002,-2.0,-2.5,-4.5,-0.3,0,-0.81
42,Nick Johnson,2015,SG,22,HOU,28,262,4.8,0.43,0.28,0.33299999999999996,5.5,10.9,8.2,6.3,1.3,0.9,18.1,17.4,-0.4,0.2,-0.1,-0.02,-6.1,-1.2,-7.3,-0.3,0,-0.81
43,Spencer Dinwiddie,2015,PG,21,DET,34,455,10.2,0.39399999999999996,0.385,0.201,0.9,10.9,5.7,34.9,2.2,1.0,15.2,21.1,-0.3,0.4,0.1,0.009000000000000001,-2.6,-1.5,-4.2,-0.2,0,-0.54
44,Aaron Gordon,2015,PF,19,ORL,47,797,11.4,0.517,0.231,0.293,6.4,17.8,12.0,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1.0,0.06,-2.8,0.0,-2.8,-0.2,0,-0.54
45,Cory Jefferson,2015,PF,24,BRK,50,531,13.2,0.48,0.09,0.32299999999999995,10.0,20.6,15.3,4.8,1.0,3.2,9.5,18.1,0.2,0.6,0.8,0.071,-3.3,-0.4,-3.7,-0.2,0,-0.54
46,K.J. McDaniels,2015,SG,21,TOT,62,1352,10.6,0.494,0.34600000000000003,0.306,5.0,11.4,8.0,9.3,1.6,4.2,17.6,19.3,-0.9,1.5,0.6,0.02,-3.8,1.1,-2.7,-0.2,0,-0.54
47,Shabazz Napier,2015,PG,23,MIA,51,1012,9.3,0.517,0.518,0.24600000000000002,2.1,11.2,6.7,19.9,2.1,0.3,24.3,15.5,-0.3,0.8,0.5,0.024,-2.0,-0.6,-2.6,-0.2,0,-0.54
48,Noah Vonleh,2015,PF,19,CHO,25,259,13.2,0.475,0.171,0.342,11.6,25.3,18.3,2.5,0.8,2.7,11.2,17.3,0.1,0.4,0.5,0.085,-4.8,-0.9,-5.6,-0.2,0,-0.54
49,Andrew Wiggins,2015,SF,19,MIN,82,2969,13.9,0.517,0.111,0.41,5.0,9.5,7.2,9.8,1.5,1.3,11.7,22.6,2.1,0.0,2.1,0.034,-0.5,-1.8,-2.3,-0.2,0,-0.54
50,James Young,2015,SG,19,BOS,31,332,8.5,0.457,0.647,0.284,2.9,11.0,6.9,5.6,1.2,0.5,4.2,15.8,0.1,0.3,0.3,0.047,-1.9,-1.9,-3.8,-0.2,0,-0.54
51,Kyle Anderson,2015,SF,21,SAS,33,358,8.2,0.389,0.124,0.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,-0.3,0.6,0.3,0.044000000000000004,-5.2,2.4,-2.7,-0.1,0,-0.27
52,Cameron Bairstow,2015,PF,24,CHI,18,64,2.1,0.309,0.0,0.35700000000000004,10.5,3.3,6.8,2.2,1.6,1.1,15.6,13.5,-0.1,0.0,-0.1,-0.048,-6.7,-1.0,-7.7,-0.1,0,-0.27
53,Markel Brown,2015,SG,23,BRK,47,781,9.1,0.45899999999999996,0.305,0.271,2.3,13.0,7.7,7.4,2.1,1.2,10.3,15.3,-0.2,0.7,0.5,0.031,-3.0,0.3,-2.7,-0.1,0,-0.27
54,Bruno Caboclo,2015,SF,19,TOR,8,23,-1.8,0.41700000000000004,0.25,0.0,5.0,5.0,5.0,0.0,0.0,3.5,25.0,31.5,-0.1,0.0,-0.1,-0.275,-12.6,-6.3,-18.9,-0.1,0,-0.27
55,Clint Capela,2015,C,20,HOU,12,90,12.1,0.409,0.0,0.7929999999999999,12.3,31.8,22.1,3.6,0.6,7.8,11.3,21.3,-0.2,0.2,0.0,0.019,-8.8,1.0,-7.8,-0.1,0,-0.27
56,Grant Jerrett,2015,PF,21,TOT,8,51,1.5,0.303,0.5770000000000001,0.038,4.4,15.2,9.9,9.6,2.1,3.1,10.2,25.4,-0.2,0.1,-0.1,-0.128,-6.8,-1.5,-8.4,-0.1,0,-0.27
57,Joffrey Lauvergne,2015,C,23,DEN,24,268,10.5,0.45899999999999996,0.18,0.315,10.5,20.9,15.5,7.5,1.5,2.9,17.8,19.9,-0.2,0.3,0.1,0.012,-4.2,0.7,-3.6,-0.1,0,-0.27
58,Mitch McGary,2015,PF,22,OKC,32,485,16.6,0.55,0.012,0.242,11.9,24.4,18.2,4.6,1.7,2.6,14.5,19.0,0.6,0.7,1.3,0.127,-2.3,-0.1,-2.4,-0.1,0,-0.27
59,Julius Randle,2015,PF,20,LAL,1,14,-7.5,0.258,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,20.5,15.5,-0.1,0.0,-0.1,-0.276,-12.3,-4.5,-16.8,-0.1,0,-0.27
60,Russ Smith,2015,PG,23,TOT,12,65,5.2,0.488,0.44,0.52,1.8,8.7,5.3,19.4,2.4,0.0,28.1,30.1,-0.2,0.1,-0.1,-0.094,-5.6,-2.5,-8.0,-0.1,0,-0.27
61,C.J. Wilcox,2015,SG,24,LAC,21,101,8.5,0.527,0.5,0.053,1.1,6.5,3.9,12.0,1.5,0.8,20.5,21.8,-0.1,0.1,0.0,-0.024,-3.3,-2.7,-6.0,-0.1,0,-0.27
62,Lucas Nogueira,2015,C,22,TOR,6,23,5.2,0.307,0.0,0.5,10.0,45.1,27.6,6.2,4.5,0.0,17.0,23.1,-0.1,0.1,0.0,-0.071,-11.0,0.7,-10.3,0.0,0,0.0
63,T.J. Warren,2015,SF,21,PHO,40,614,14.0,0.551,0.098,0.08900000000000001,7.3,7.9,7.6,6.6,1.5,1.1,10.8,17.8,0.7,0.4,1.1,0.085,-1.0,-1.1,-2.1,0.0,0,0.0
64,Emmanuel Mudiay,2016,PG,19,DEN,68,2068,9.9,0.43700000000000006,0.256,0.231,1.7,10.9,6.2,29.0,1.6,1.4,17.9,25.7,-3.3,1.2,-2.1,-0.049,-3.1,-1.2,-4.3,-1.2,0,-3.24
65,Rashad Vaughn,2016,SG,19,MIL,70,1001,4.2,0.39799999999999996,0.5529999999999999,0.055999999999999994,1.3,8.7,5.0,5.5,1.5,1.4,9.3,13.5,-1.2,0.4,-0.8,-0.036000000000000004,-4.3,-1.9,-6.1,-1.0,0,-2.7
66,Jahlil Okafor,2016,C,20,PHI,53,1591,17.1,0.536,0.008,0.248,8.1,17.8,12.8,8.2,0.7,2.9,12.5,27.3,0.3,0.9,1.2,0.037000000000000005,-2.6,-1.5,-4.1,-0.8,0,-2.16
67,Kelly Oubre,2016,SF,20,WAS,63,671,8.2,0.507,0.374,0.23199999999999998,4.1,18.4,11.1,2.8,1.6,0.8,12.8,17.4,-0.3,0.7,0.4,0.031,-4.3,-1.6,-5.8,-0.7,0,-1.89
68,Devin Booker,2016,SG,19,PHO,76,2108,11.9,0.535,0.33299999999999996,0.295,1.4,8.4,4.8,15.8,1.0,0.8,14.0,23.0,1.2,0.7,1.9,0.043,-0.6,-2.4,-3.1,-0.6,0,-1.62
69,Anthony Brown,2016,SF,23,LAL,29,599,4.9,0.42700000000000005,0.556,0.159,1.6,11.3,6.3,4.8,1.2,0.7,10.0,11.0,-0.4,0.1,-0.3,-0.024,-4.0,-1.1,-5.0,-0.5,0,-1.35
70,Jerian Grant,2016,PG,23,NYK,76,1265,11.2,0.479,0.256,0.315,2.0,10.2,6.2,21.8,2.0,0.6,16.3,19.0,-0.2,1.0,0.8,0.03,-2.3,-1.1,-3.4,-0.5,0,-1.35
71,Bobby Portis,2016,PF,20,CHI,62,1102,13.8,0.469,0.11900000000000001,0.151,12.0,20.0,16.1,7.5,1.1,1.5,10.4,20.7,0.3,1.3,1.5,0.066,-2.4,-0.9,-3.3,-0.4,0,-1.08
72,Terry Rozier,2016,PG,21,BOS,39,311,5.0,0.326,0.255,0.094,8.1,13.5,10.8,16.5,0.9,0.3,14.7,17.7,-0.6,0.3,-0.3,-0.047,-5.9,-0.8,-6.6,-0.4,0,-1.08
73,Mario Hezonja,2016,SF,20,ORL,79,1413,9.4,0.541,0.45899999999999996,0.129,2.2,11.8,6.9,11.2,1.4,1.0,18.0,16.9,-0.1,1.0,0.9,0.028999999999999998,-1.9,-0.9,-2.8,-0.3,0,-0.81
74,Tyus Jones,2016,PG,19,MIN,37,573,11.2,0.45,0.34,0.25,1.4,8.0,4.8,27.7,2.7,0.4,16.0,16.1,0.0,0.3,0.3,0.027000000000000003,-1.7,-2.0,-3.7,-0.3,0,-0.81
75,Trey Lyles,2016,PF,20,UTA,80,1382,11.6,0.517,0.294,0.188,5.0,20.2,12.6,7.1,1.0,1.1,12.1,17.9,0.6,1.7,2.3,0.079,-2.4,-0.4,-2.8,-0.3,0,-0.81
76,Lamar Patterson,2016,SG,24,ATL,35,395,5.1,0.46799999999999997,0.613,0.275,1.1,12.4,6.9,13.6,1.1,0.4,20.4,12.8,-0.3,0.5,0.2,0.025,-4.6,-0.3,-4.9,-0.3,0,-0.81
77,Pat Connaughton,2016,SG,23,POR,34,143,4.6,0.35200000000000004,0.429,0.102,8.3,15.9,12.1,9.9,0.7,0.0,16.3,18.7,-0.3,0.1,-0.2,-0.076,-5.8,-2.4,-8.2,-0.2,0,-0.54
78,Darrun Hilliard,2016,SG,22,DET,38,383,10.7,0.511,0.382,0.305,1.4,11.9,6.4,10.9,1.2,0.2,11.3,19.1,0.2,0.3,0.5,0.066,-2.0,-1.6,-3.6,-0.2,0,-0.54
79,Damien Inglis,2016,SF,20,MIL,20,156,6.7,0.444,0.35100000000000003,0.21600000000000003,1.5,21.1,11.4,9.0,2.0,1.6,21.4,14.9,-0.2,0.2,-0.1,-0.024,-6.1,-0.3,-6.4,-0.2,0,-0.54
80,Stanley Johnson,2016,SF,19,DET,73,1687,8.7,0.46,0.342,0.17,3.6,16.7,9.9,10.8,1.6,0.5,15.0,19.6,-1.3,1.9,0.6,0.018000000000000002,-3.1,0.5,-2.6,-0.2,0,-0.54
81,Josh Huestis,2016,PF,24,OKC,5,55,6.7,0.509,0.5,0.33299999999999996,4.2,15.0,9.9,0.0,0.9,2.8,17.9,13.0,0.0,0.1,0.0,0.01,-4.9,-2.5,-7.4,-0.1,0,-0.27
82,R.J. Hunter,2016,SG,22,BOS,36,315,7.7,0.48,0.643,0.071,0.7,12.0,6.2,5.9,2.2,1.0,9.8,15.1,-0.1,0.4,0.3,0.045,-3.1,-0.4,-3.5,-0.1,0,-0.27
83,Jarell Martin,2016,PF,21,MEM,27,380,14.0,0.534,0.017,0.534,11.2,14.7,12.9,6.4,1.1,1.7,11.7,19.2,0.5,0.2,0.8,0.1,-1.6,-1.6,-3.2,-0.1,0,-0.27
84,Jordan McRae,2016,PG,24,TOT,22,195,14.2,0.5479999999999999,0.282,0.359,2.3,9.2,5.7,20.9,0.7,0.4,14.2,23.9,0.2,0.1,0.4,0.087,-0.9,-3.3,-4.3,-0.1,0,-0.27
85,Raul Neto,2016,PG,23,UTA,81,1499,10.2,0.53,0.38799999999999996,0.16699999999999998,1.3,8.0,4.7,18.7,2.2,0.1,19.5,17.2,0.2,1.6,1.8,0.057999999999999996,-1.6,-0.7,-2.3,-0.1,0,-0.27
86,Myles Turner,2016,C,19,IND,60,1367,15.4,0.531,0.026000000000000002,0.228,5.5,21.0,13.3,5.0,0.9,5.1,10.3,20.9,0.8,2.3,3.1,0.109,-3.7,1.4,-2.3,-0.1,0,-0.27
87,Thanasis Antetokounmpo,2016,SF,23,NYK,2,6,32.9,0.75,0.25,0.0,0.0,17.9,9.1,0.0,0.0,0.0,0.0,30.2,0.0,0.0,0.0,0.29100000000000004,6.3,-10.5,-4.1,0.0,0,0.0
88,Rakeem Christmas,2016,PF,24,IND,1,6,32.0,1.0,0.0,0.0,18.3,0.0,9.1,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.34299999999999997,9.7,-6.6,3.2,0.0,0,0.0
89,Branden Dawson,2016,PF,22,LAC,6,29,7.1,0.46,0.0,0.2,7.6,7.4,7.5,0.0,0.0,2.7,0.0,8.5,0.0,0.0,0.0,0.069,-4.9,-1.7,-6.6,0.0,0,0.0
90,Sam Dekker,2016,PF,21,HOU,3,6,10.8,0.0,0.0,0.0,0.0,18.5,9.2,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.11599999999999999,-5.3,5.8,0.5,0.0,0,0.0
91,Montrezl Harrell,2016,PF,22,HOU,39,379,14.6,0.635,0.011000000000000001,0.511,7.2,11.7,9.5,7.2,1.4,2.4,13.4,14.5,0.7,0.2,0.9,0.11800000000000001,-1.2,-0.7,-1.9,0.0,0,0.0
92,Kevon Looney,2016,PF,19,GSW,5,21,18.6,0.643,0.28600000000000003,0.0,21.8,29.1,25.6,0.0,0.0,0.0,12.5,16.5,0.1,0.0,0.1,0.192,-1.2,-8.2,-9.5,0.0,0,0.0
93,Jordan Mickey,2016,PF,21,BOS,16,57,15.3,0.39799999999999996,0.0,0.455,11.0,13.3,12.1,2.6,0.0,15.1,3.6,20.5,0.0,0.1,0.1,0.068,-7.3,4.1,-3.2,0.0,0,0.0
94,Domantas Sabonis,2017,PF,20,OKC,81,1632,6.9,0.469,0.331,0.139,3.1,16.4,9.8,7.2,1.2,1.6,14.0,15.4,-1.0,1.8,0.8,0.022000000000000002,-4.7,-0.1,-4.8,-1.2,0,-3.24
95,Isaiah Whitehead,2017,PG,21,BRK,73,1643,7.6,0.48700000000000004,0.293,0.222,2.1,9.7,5.9,17.7,1.2,1.7,20.3,18.2,-1.7,0.9,-0.8,-0.023,-4.3,-0.6,-4.9,-1.2,0,-3.24
96,Semaj Christon,2017,PG,24,OKC,64,973,5.7,0.387,0.28300000000000003,0.139,2.2,7.8,4.9,18.1,1.4,0.6,15.4,12.2,-0.7,0.8,0.1,0.006,-5.1,-1.2,-6.3,-1.1,0,-2.9700000000000006
97,Brandon Ingram,2017,SF,19,LAL,79,2279,8.5,0.474,0.273,0.312,2.8,12.7,7.6,10.5,1.1,1.3,12.9,16.8,-1.0,0.7,-0.3,-0.006999999999999999,-3.1,-0.7,-3.8,-1.1,0,-2.9700000000000006
98,Jaylen Brown,2017,SF,20,BOS,78,1341,10.3,0.539,0.319,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,0.2,1.3,1.5,0.053,-3.1,-0.9,-4.0,-0.7,0,-1.89
99,Tyler Ulis,2017,PG,21,PHO,61,1123,13.0,0.474,0.18100000000000002,0.162,1.9,7.5,4.6,30.5,2.0,0.4,14.1,20.3,0.3,0.4,0.7,0.028999999999999998,-1.5,-2.5,-4.0,-0.6,0,-1.62
100,Wade Baldwin,2017,PG,20,MEM,33,405,6.5,0.40399999999999997,0.191,0.322,3.0,10.2,6.5,22.8,2.3,1.7,22.9,19.1,-0.8,0.5,-0.3,-0.040999999999999995,-6.2,0.5,-5.7,-0.4,0,-1.08
101,Kay Felder,2017,PG,21,CLE,42,386,11.4,0.462,0.139,0.31,0.9,10.5,5.9,22.7,2.3,1.5,14.3,24.2,-0.3,0.4,0.1,0.008,-4.8,-1.2,-6.0,-0.4,0,-1.08
102,Buddy Hield,2017,SG,23,TOT,82,1888,11.8,0.541,0.494,0.099,2.0,13.5,7.8,10.3,1.0,0.4,11.2,21.3,0.0,1.3,1.3,0.032,-0.9,-1.9,-2.7,-0.4,0,-1.08
103,Paul Zipser,2017,SF,22,CHI,44,843,6.9,0.503,0.44799999999999995,0.18100000000000002,1.9,14.2,8.0,6.1,0.9,1.5,14.4,14.4,-0.3,0.8,0.5,0.03,-3.6,-0.1,-3.7,-0.4,0,-1.08
104,Dragan Bender,2017,PF,19,PHO,43,574,5.3,0.44,0.627,0.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4,-0.7,0.3,-0.3,-0.028999999999999998,-4.0,-0.3,-4.3,-0.3,0,-0.81
105,Jake Layman,2017,SF,22,POR,35,249,4.9,0.40399999999999997,0.573,0.191,2.7,8.0,5.3,6.2,1.8,1.0,10.2,19.0,-0.4,0.1,-0.3,-0.054000000000000006,-4.7,-2.7,-7.4,-0.3,0,-0.81
106,Jamal Murray,2017,SG,19,DEN,82,1764,11.9,0.518,0.47100000000000003,0.16399999999999998,2.6,10.7,6.7,14.0,1.4,1.1,12.6,21.6,0.6,0.7,1.3,0.037000000000000005,-0.5,-2.1,-2.6,-0.3,0,-0.81
107,Cheick Diallo,2017,PF,20,NOP,17,199,16.8,0.51,0.0,0.276,12.1,26.7,19.4,3.2,1.0,2.9,7.6,20.5,0.2,0.3,0.5,0.111,-4.6,-1.0,-5.6,-0.2,0,-0.54
108,Henry Ellenson,2017,PF,20,DET,19,146,7.5,0.444,0.547,0.125,5.8,25.6,15.3,7.2,0.3,0.6,17.2,24.7,-0.4,0.2,-0.2,-0.071,-5.8,-2.4,-8.2,-0.2,0,-0.54
109,Andrew Harrison,2017,PG,22,MEM,72,1474,8.7,0.47700000000000004,0.433,0.539,1.7,9.0,5.3,20.0,1.9,1.4,16.0,16.4,0.0,1.5,1.6,0.051,-2.4,0.0,-2.4,-0.2,0,-0.54
110,Damian Jones,2017,C,21,GSW,10,85,5.3,0.466,0.0,0.625,12.4,17.0,14.8,0.0,0.6,3.7,22.7,13.4,-0.1,0.1,0.0,0.018000000000000002,-7.5,-2.1,-9.6,-0.2,0,-0.54
111,Dejounte Murray,2017,PG,20,SAS,38,322,9.6,0.503,0.198,0.259,2.2,12.4,7.4,22.6,1.3,1.5,22.7,23.5,-0.4,0.5,0.0,0.004,-4.6,-0.2,-4.8,-0.2,0,-0.54
112,Georges Niang,2017,PF,23,IND,23,93,0.1,0.285,0.33299999999999996,0.055999999999999994,2.4,17.9,10.3,7.5,1.6,0.0,11.9,20.2,-0.4,0.1,-0.3,-0.168,-9.9,-2.2,-12.0,-0.2,0,-0.54
113,Malachi Richardson,2017,SG,21,SAC,22,198,9.6,0.517,0.41200000000000003,0.27899999999999997,1.8,11.5,6.7,8.7,1.3,0.5,9.5,19.3,0.0,0.1,0.1,0.027999999999999997,-2.5,-3.0,-5.5,-0.2,0,-0.54
114,Denzel Valentine,2017,SG,23,CHI,57,976,7.3,0.49200000000000005,0.722,0.063,1.2,15.6,8.3,9.3,1.5,0.6,14.2,15.4,-0.5,1.1,0.6,0.031,-2.4,-0.3,-2.7,-0.2,0,-0.54
115,Malik Beasley,2017,SG,20,DEN,22,165,13.7,0.536,0.384,0.13699999999999998,3.4,8.0,5.7,10.2,2.1,0.0,9.4,22.0,0.1,0.1,0.2,0.057,-0.5,-3.5,-3.9,-0.1,0,-0.27
116,Ben Bentil,2017,PF,21,DAL,3,10,-17.6,0.0,0.33299999999999996,0.0,0.0,24.4,11.6,0.0,0.0,0.0,25.0,18.9,-0.1,0.0,-0.1,-0.473,-22.4,-4.5,-26.9,-0.1,0,-0.27
117,Deyonta Davis,2017,C,20,MEM,36,238,10.6,0.528,0.0,0.38299999999999995,9.3,19.8,14.4,1.3,0.7,6.8,12.7,12.0,0.1,0.4,0.5,0.09699999999999999,-5.4,1.8,-3.7,-0.1,0,-0.27
