,Player,NBA_Season,Pos,Age,Tm,G,MP,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,Label,WAR
27,Dennis Smith,2018,PG,20,DAL,69,2049,12.8,0.473,0.331,0.188,2.6,11.8,7.0,29.5,1.7,0.8,15.0,28.9,-2.4,1.7,-0.7,-0.017,-1.5,-0.7,-2.3,-0.1,0,-0.27
28,Ike Anigbogu,2018,C,19,IND,11,30,21.6,0.5579999999999999,0.0,0.667,19.0,15.0,16.9,0.0,1.7,8.9,14.7,20.3,0.1,0.0,0.1,0.165,-4.1,-1.2,-5.4,0.0,0,0.0
29,Jabari Bird,2018,SG,23,BOS,13,115,12.1,0.615,0.26899999999999996,0.5,5.8,12.2,9.0,10.5,1.3,0.7,20.1,15.4,0.1,0.2,0.2,0.098,-2.3,0.1,-2.1,0.0,0,0.0
30,Thomas Bryant,2018,C,20,LAL,15,72,9.9,0.441,0.47600000000000003,0.429,4.5,20.6,12.6,11.5,0.7,2.3,7.4,15.9,0.0,0.1,0.1,0.05,-3.8,-0.4,-4.2,0.0,0,0.0
31,Daniel Hamilton,2018,SG,22,OKC,6,28,18.2,0.545,0.455,0.0,0.0,20.5,9.9,44.2,1.8,0.0,15.4,19.9,0.1,0.0,0.1,0.16899999999999998,0.8,-2.4,-1.6,0.0,0,0.0
32,Jonathan Isaac,2018,PF,20,ORL,27,536,9.8,0.465,0.317,0.172,3.3,17.2,10.2,4.8,3.0,4.5,14.8,15.0,-0.6,0.8,0.2,0.021,-4.9,3.1,-1.8,0.0,0,0.0
33,Tyler Lydon,2018,PF,21,DEN,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013999999999999999,-5.7,-0.8,-6.5,0.0,0,0.0
34,Monte Morris,2018,PG,22,DEN,3,25,27.1,0.727,0.16699999999999998,0.33299999999999996,0.0,9.0,4.5,41.2,5.9,0.0,12.7,13.7,0.1,0.0,0.2,0.312,3.6,-1.6,2.0,0.0,0,0.0
35,Marcus Paige,2018,PG,24,CHO,5,28,9.1,0.40299999999999997,0.5710000000000001,0.14300000000000002,0.0,15.7,7.7,16.1,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-0.006,-2.4,-4.4,-6.9,0.0,0,0.0
36,Justin Patton,2018,C,20,MIN,1,4,19.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,22.1,0.0,0.0,0.0,0.151,-0.7,4.0,3.3,0.0,0,0.0
